iter	Passed	Remaining
0	1	164
1	3	149
2	4	133
3	4	116
4	5	106
5	6	100
6	7	95
7	7	91
8	8	87
9	9	85
10	10	82
11	10	80
12	11	78
13	12	77
14	13	76
15	14	74
16	15	73
17	15	72
18	16	70
19	17	69
20	18	68
21	18	67
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	24	58
30	25	57
31	26	56
32	27	55
33	27	54
34	28	53
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	33	45
42	33	44
43	34	43
44	35	43
45	36	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	67	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	75	0
