iter	Passed	Remaining
0	216	215827
1	217	108346
2	217	72420
3	220	54831
4	221	44034
5	222	36851
6	223	31693
7	224	27823
8	225	24807
9	227	22513
10	228	20521
11	229	18856
12	229	17450
13	230	16242
14	232	15280
15	233	14374
16	234	13580
17	235	12857
18	236	12215
19	237	11631
20	238	11102
21	238	10616
22	239	10190
23	240	9799
24	241	9432
25	242	9096
26	244	8793
27	247	8586
28	248	8312
29	249	8055
30	250	7818
31	251	7598
32	252	7399
33	253	7207
34	254	7021
35	255	6846
36	257	6710
37	260	6602
38	261	6452
39	262	6305
40	263	6166
41	264	6034
42	265	5911
43	266	5789
44	267	5672
45	268	5559
46	268	5452
47	269	5354
48	271	5261
49	273	5191
50	274	5101
51	276	5031
52	276	4948
53	277	4869
54	279	4796
55	280	4722
56	281	4649
57	282	4590
58	283	4524
59	284	4461
60	285	4400
61	286	4336
62	287	4274
63	288	4214
64	288	4155
65	289	4098
66	290	4043
67	291	3990
68	291	3938
69	293	3903
70	294	3857
71	295	3811
72	296	3767
73	297	3726
74	298	3684
75	299	3640
76	300	3598
77	300	3556
78	301	3515
79	302	3476
80	302	3437
81	303	3399
82	304	3358
83	304	3323
84	305	3290
85	307	3264
86	308	3236
87	309	3203
88	309	3171
89	310	3142
90	311	3111
91	312	3080
92	312	3050
93	313	3021
94	314	2992
95	314	2964
96	315	2936
97	316	2910
98	316	2884
99	317	2859
100	318	2834
101	319	2810
102	320	2787
103	322	2775
104	322	2751
105	323	2728
106	324	2706
107	325	2684
108	325	2662
109	326	2640
110	327	2619
111	327	2597
112	328	2577
113	329	2557
114	329	2537
115	330	2518
116	331	2499
117	331	2481
118	332	2463
119	333	2445
120	334	2428
121	336	2421
122	337	2405
123	338	2389
124	339	2373
125	339	2357
126	340	2340
127	341	2323
128	341	2307
129	342	2292
130	343	2277
131	344	2262
132	344	2247
133	345	2233
134	346	2218
135	347	2204
136	347	2191
137	348	2177
138	351	2174
139	352	2162
140	352	2149
141	353	2134
142	353	2120
143	354	2107
144	355	2095
145	356	2083
146	356	2071
147	357	2059
148	358	2047
149	359	2035
150	359	2023
151	360	2011
152	361	1999
153	362	1988
154	362	1977
155	363	1967
156	365	1962
157	366	1951
158	367	1941
159	367	1931
160	368	1920
161	369	1909
162	369	1899
163	370	1889
164	371	1880
165	372	1870
166	372	1860
167	373	1850
168	374	1840
169	374	1830
170	375	1821
171	376	1812
172	377	1804
173	379	1800
